group,context,metric,value,note
E1B2,PolypGen_Final68,harm_auroc,0.57979958,
E1B2,PolypGen_Final68,harm_auprc,0.26827043,
E1B2,PolypGen_Final68,hvb_auroc,0.68864073,
E1B2,PolypGen_Final68,hvb_auprc,0.5338323,
E1B2,PolypGen_Final68,source_dice,0.75489567,
E1B2,PolypGen_Final68,always_adapt_dice,0.75673397,
E1B2,PolypGen_Final68,deployed_dice,0.75691941,
E1B2,PolypGen_Final68,deployed_minus_source,0.00202374,
E1B2,PolypGen_Final68,deployed_minus_always,0.00018544,
E1B2,PolypGen_Final68,harm_rollback,0.561462,
E1B2,PolypGen_Final68,benefit_accept,0.733453,
E2,Geometry4,harm_auroc,0.6147769,
E2,Geometry4,harm_auprc,0.2199836,
E2,Geometry4,hvb_auroc,0.5710304,
E2,Geometry4,hvb_auprc,0.4114596,
E2,Geometry4,deployed_dice,0.7536225,
E2,Geometry4,deployed_minus_source,-0.0012732,
E2,Transition64,harm_auroc,0.6268736,
E2,Transition64,harm_auprc,0.2547476,
E2,Transition64,hvb_auroc,0.6295295,
E2,Transition64,hvb_auprc,0.4834791,
E2,Transition64,deployed_dice,0.7557354,
E2,Transition64,deployed_minus_source,0.0008397,
E2,Full68,harm_auroc,0.5797996,
E2,Full68,harm_auprc,0.2682704,
E2,Full68,hvb_auroc,0.6886407,
E2,Full68,hvb_auprc,0.5338323,
E2,Full68,deployed_dice,0.7569194,
E2,Full68,deployed_minus_source,0.0020237,
E3B,Full68,harm_auroc,0.5797996,matched 50% acceptance budget
E3B,Full68,harm_auprc,0.2682704,matched 50% acceptance budget
E3B,Full68,hvb_auroc,0.6886407,matched 50% acceptance budget
E3B,Full68,hvb_auprc,0.5338323,matched 50% acceptance budget
E3B,Full68,deployed_dice_50pct,0.75706959,matched 50% acceptance budget
E3B,Full68,harm_prevented_50pct,0.551495,matched 50% acceptance budget
E3B,Full68,benefit_accepted_50pct,0.744186,matched 50% acceptance budget
E3B,QCResUNet,harm_auroc,0.6382439,frozen score-level sensitivity comparator
E3B,QCResUNet,harm_auprc,0.268032,frozen score-level sensitivity comparator
E3B,QCResUNet,hvb_auroc,0.6920789,frozen score-level sensitivity comparator
E3B,QCResUNet,hvb_auprc,0.5077476,frozen score-level sensitivity comparator
E3B,QCResUNet,deployed_dice_50pct,0.75841653,frozen score-level sensitivity comparator
E3B,QCResUNet,harm_prevented_50pct,0.61794,frozen score-level sensitivity comparator
E3B,QCResUNet,benefit_accepted_50pct,0.670841,frozen score-level sensitivity comparator
E3B,TEGDA_ADIC,harm_auroc,0.7497391,frozen score-level sensitivity comparator
E3B,TEGDA_ADIC,harm_auprc,0.154403,frozen score-level sensitivity comparator
E3B,TEGDA_ADIC,hvb_auroc,0.4046916,frozen score-level sensitivity comparator
E3B,TEGDA_ADIC,hvb_auprc,0.3039716,frozen score-level sensitivity comparator
E3B,TEGDA_ADIC,deployed_dice_50pct,0.74997691,frozen score-level sensitivity comparator
E3B,TEGDA_ADIC,harm_prevented_50pct,0.863787,frozen score-level sensitivity comparator
E3B,TEGDA_ADIC,benefit_accepted_50pct,0.060823,frozen score-level sensitivity comparator
E3B,SicTTA_CCD,harm_auroc,0.6072966,frozen score-level sensitivity comparator
E3B,SicTTA_CCD,harm_auprc,0.083324,frozen score-level sensitivity comparator
E3B,SicTTA_CCD,hvb_auroc,0.538304,frozen score-level sensitivity comparator
